Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1998-12-24,82.90640865,82.96951934,82.46463382,82.59085520,   15071,122.68750000
1998-12-28,82.96951934,83.01159313,82.12804348,82.38048624,   42036,122.37500000
1998-12-29,82.61189210,83.80047675,82.21219107,83.68477381,   39358,124.31250000
1998-12-30,83.43233106,83.97929036,82.82226106,83.01159313,   68107,123.31250000
1998-12-31,83.01159313,83.43233106,82.44359693,83.01159313,   67905,123.31250000
1999-01-04,83.05366692,84.29484381,81.93871142,82.82226106,   94504,123.03125000
1999-01-05,82.75915037,84.06343795,82.75915037,83.76892140,   80310,124.43750000
1999-01-06,84.69454484,85.99883242,84.65247105,85.78846345,   77377,127.43750000
1999-01-07,85.07320898,85.64120518,84.67350795,85.36772553,   55049,126.81250000
1999-01-08,86.29334897,86.50371793,84.79972932,85.99883242,   62244,127.75000000
1999-01-11,85.95675862,85.95675862,84.29484381,85.17839346,   75783,126.53125000
1999-01-12,84.96802449,84.96802449,83.30610968,83.64270002,   77688,124.25000000
1999-01-13,81.05516177,84.23173312,81.03412487,83.05366692,  108106,123.37500000
1999-01-14,83.22196209,83.41129416,81.39175211,81.60212107,  114007,121.21875000
1999-01-15,82.38048624,84.00032726,82.17011728,83.72684761,   78177,124.37500000
1999-01-19,84.34743605,84.56832346,83.13781451,84.27380691,   65351,125.18750000
1999-01-20,84.88387691,86.12505380,84.16862243,84.94698760,   65344,126.18750000
1999-01-21,84.53676812,84.71558174,82.52774451,82.69603968,   69375,122.84375000
1999-01-22,82.21219107,83.36922037,81.98078521,82.50670762,   75223,122.56250000
1999-01-25,82.99055623,83.47440485,82.06493279,83.34818347,   57003,123.81250000
1999-01-26,83.55855244,84.86284001,83.22196209,84.86284001,   60470,126.06250000
1999-01-27,85.07320898,85.24150415,83.57958933,83.87410588,   73994,124.59375000
1999-01-28,84.31588071,85.47291001,84.27380691,85.28357794,   59617,126.68750000
1999-01-29,85.72535276,86.36697810,84.42106519,85.93572173,   64568,127.65625000
1999-02-01,86.62993931,86.62993931,85.43083621,85.43083621,   94268,126.90625000
1999-02-02,85.54653914,85.64120518,83.98980881,84.90491381,   91945,126.12500000
1999-02-03,84.61039726,86.12505380,84.58936036,85.76742656,  102907,127.40625000
1999-02-04,85.74638966,85.83053725,84.00032726,84.48417588,   77611,125.50000000
